abc,def,ghi
jkl,mno,pqr
xyz,123,orange
foo,bar,baz
one,two,three
apple,orange,banana
java,python,c++
hello,world,gpt
alpha,beta,gamma
lorem,one,dolor
red,green,blue
cat,dog,fish
sun,moon,star
happy,sad,angry
spring,summer,winter
coffee,tea,juice
keyboard,mouse,monitor
paper,scissors,rock
mountain,river,valley
car,bicycle,motorcycle
house,apartment,villa
book,movie,music
cookie,cake,icecream
morning,afternoon,night
teacher,student,parent
bike,car,plane
math,science,history
beach,mountain,city
pencil,pen,marker
chair,table,desk
left,right,center
swim,bike,run
black,white,one
socks,shoes,sandals
almond,peanut,cashew
orange,lemon,lime
cow,horse,sheep